STIX ID,Type,Technique Name,Description,Short Description,Created,Modified,spec_version,Is Subtechnique,Parent Technique,Aliases,External References,External ID,URL
attack-pattern--21bd5058-b64e-4bac-9625-c683c87d9a20,attack-pattern,Pig Butchering,"A specialized scam-based variant of Investment Fraud wherein criminals first establish false trust or relationships (often romantic or friendly) before urging victims to invest in fraudulent or manipulated opportunities, commonly centered around cryptocurrency . These scams—also referred to as Sha Zhu Pan—are frequently orchestrated by large criminal organizations in Southeast Asia, sometimes involving labor trafficking to staff call centers . Victims are led to believe they can generate high returns from seemingly legitimate trading applications or websites that display fictitious profits and temporarily allow small withdrawals to inspire further investments . In many cases, perpetrators direct victims to deposit funds into specific crypto wallets, decentralized exchanges, or even Bitcoin ATMs, which adds additional layers of obfuscation . Once the victim has deposited substantial capital, the scammers abruptly seize the funds, often routing them through multiple wallets and accounts to conceal the source, thereby complicating detection and AML efforts. These methods blend elements of romance fraud and investment fraud, exploiting personal trust and sophisticated laundering techniques to expand illicit proceeds on a global scale.","Launderers may systematically exploit “Pig Butchering” by cultivating fake personal relationships to persuade victims into funneling funds into fraudulent crypto platforms, then layering the illicit proceeds across multiple wallets, exchanges, and accounts to complicate AML detection.",2025-04-02T13:25:45.192478+00:00,2025-04-02T13:25:45.192478+00:00,2.1,True,attack-pattern--60e2df2b-69a5-41ec-a802-b764d1fb0003,Sha Zhu Pan; Romance Investment Scam,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0144.009"",
    ""url"": ""https://framework.amltrix.com/techniques/T0144.009""
  }
]",T0144.009,https://framework.amltrix.com/techniques/T0144.009
attack-pattern--45ed0dce-6535-4466-8b20-186129fdf834,attack-pattern,Cross-Border Settlement Document Manipulation,"Criminals fabricate or alter settlement records to exploit cross-border or regional payment frameworks (e.g., SUCRE) under the appearance of legitimate trade. They often reference fictitious suppliers or inflate invoice values to disguise illegal funds and thwart routine checks . Exploiting multi-jurisdictional gaps, these launderers leverage limited cross-border oversight and the absence of uniform data standards, complicating regulators’ attempts to authenticate documents or trace suspicious flows. By presenting fraudulent paperwork as valid, they circumvent standard due diligence, obscure illicit proceeds, and operate seamlessly across transnational payment channels.","Launderers typically fabricate or alter settlement records under the guise of legitimate trade, leveraging fictitious suppliers or inflating invoice values to exploit cross-border or regional payment networks and obscure illicit proceeds. By exploiting multi-jurisdictional oversight gaps and presenting fraudulent documentation, they circumvent standard due diligence and evade regulators’ attempts to authenticate transactions or trace suspicious flows.",2025-04-02T13:25:45.227781+00:00,2025-04-02T13:25:45.227781+00:00,2.1,True,attack-pattern--5d0aece7-7e0c-4d67-a351-96d6fc6359ef,Falsified Documentation in SUCRE System Transfers,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0012.001"",
    ""url"": ""https://framework.amltrix.com/techniques/T0012.001""
  }
]",T0012.001,https://framework.amltrix.com/techniques/T0012.001
attack-pattern--608080a4-1fa1-482d-a846-4b65e0a200b2,attack-pattern,Loan Schemes,"Criminals exploit a variety of loan structures to conceal illicit proceeds and introduce them into regulated financial channels. They may employ 'loan-back' or 'back-to-back' arrangements, in which offshore shell entities nominally serve as lenders, allowing criminals to 'borrow' their own funds under the guise of legitimate agreements . Common traits include legally invalid or non-existent contracts, lack of genuine collateral, and inconsistencies in documentation that raise suspicion. Some perpetrators also abuse government-subsidized loan programs by overstating turnover or submitting falsified materials, fraudulently securing loans that may then go into default . In many schemes, false invoices or fabricated contractual records are introduced to justify transfers and disguise the true origin of funds . Criminals may further intermingle legitimate proceeds with illicit funds, allowing quick loan turnover, minimal interest or principal repayment, and strategic defaults to obscure ownership, frustrate investigators, and hamper financial transparency.","Launderers typically exploit illicit “loan-back” or “back-to-back” arrangements through offshore shell lenders, inserting their own funds as purported loans and masking the true origin of proceeds with sham contracts or inconsistent documentation. They may also abuse government-subsidized loan programs by falsifying applications, then commingling legitimate and illegal funds and defaulting strategically to obscure beneficial ownership and derail financial oversight.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0098"",
    ""url"": ""https://framework.amltrix.com/techniques/T0098""
  }
]",T0098,https://framework.amltrix.com/techniques/T0098
attack-pattern--b47553a0-7086-4387-be7d-dcd9ee87789c,attack-pattern,Currency Exchange Conversions,"Criminals exploit both licensed and unlicensed currency exchange offices to execute multiple cross-currency swaps, continually shifting denominations to obscure the origin of illicit proceeds . By exploiting lax AML controls or inadequate customer due diligence, launderers can convert large sums into different fiat currencies, fragment the funds across multiple accounts or intermediaries, and then reconsolidate them under newly formed chains , . They often collaborate with complicit operators who overlook suspicious transaction patterns or ignore aggregated activity thresholds, allowing structured exchanges to remain undetected. In practice, once the funds have been converted among multiple denominations, tracing their origin becomes progressively more challenging, especially when smaller transfers are distributed through multiple providers . Cross-border wire transfers and other cross-currency services are particularly vulnerable to repeated layering, since oversight varies widely between jurisdictions, enabling criminals to operate below detection thresholds .

A key interrelation involves physically transporting large amounts of cash across borders to exploit discrepancies between official and unofficial exchange rates . Criminals partner with clandestine groups or facilitators who smuggle foreign currency into a target jurisdiction, where underground brokers offer premium rates for quick conversions without formal oversight. In some regions with inconsistent or underdeveloped AML controls, such as parts of West Africa, weak supervision and limited cross-border reporting requirements allow offenders to multiply illicit proceeds through repeated roundabout flows and cross-currency swaps, further obscuring the money’s origin . By merging cross-border smuggling with intentional currency fragmentation and repeated exchanges, offenders create complex transaction trails that significantly hinder investigators’ efforts to identify and recover criminal assets.","Launderers typically exploit both licensed and unlicensed exchange services to conduct successive cross-currency swaps, fragmenting and layering illicit proceeds through repeated conversions and transfers. By targeting weak AML controls or colluding with complicit operators, they obscure transaction trails and evade detection across multiple jurisdictions.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0115"",
    ""url"": ""https://framework.amltrix.com/techniques/T0115""
  }
]",T0115,https://framework.amltrix.com/techniques/T0115
attack-pattern--bb258c00-9308-47de-aecc-0e1b1739616d,attack-pattern,Structuring,"Splitting illicit funds into smaller, less conspicuous amounts to avoid detection or threshold reporting is a widely used method across multiple stages of money laundering. While frequently initiated at the placement stage—introducing criminal proceeds into the financial system without triggering mandatory thresholds—it is equally effective during layering and integration, helping perpetrators obscure the origin of illicit funds and ultimately blend them into legitimate channels . Offenders typically break down large sums into increments below reporting triggers, depositing them across multiple accounts or under different sender identities through repeated transactions or distributed deposit channels . Some also use stored-value cards or money mules to fragment funds, exploiting minimal checks on lower-value sums . This approach is not limited to physical currency; structured wire transfers, digital wallets, and other non-cash instruments also circumvent detection thresholds. By ensuring each transaction remains small, criminals avoid automated alerts, complicate oversight, and facilitate subsequent laundering stages. Criminals may further enlist third-party depositors or cash couriers, who perform segmented placements into numerous bank accounts or payment systems, making it difficult for financial institutions to trace overall volumes . Variations on this method include smurfing—using numerous individuals or accounts for below-threshold operations—and remittance splitting, where sums are dispersed through multiple money transfer services to mask ultimate beneficiaries. In digital platforms, offenders divide deposits across ephemeral or newly generated addresses, further obscuring beneficial ownership. Regardless of the channel, the core objective remains consistent: to subvert conventional controls by systematically staying under official or institution-specific thresholds, thereby eluding standard transaction monitoring and reporting regimes.","Adversaries typically exploit structuring by splitting illicit proceeds into smaller, below-threshold amounts deposited under multiple accounts or via different channels, thereby circumventing mandatory reporting and complicating suspicious transaction monitoring. By avoiding automated alerts and fragmenting the money flow, launderers undermine conventional controls and enable subsequent layering or integration.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,Transaction Structuring; Splitting,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0016"",
    ""url"": ""https://framework.amltrix.com/techniques/T0016""
  }
]",T0016,https://framework.amltrix.com/techniques/T0016
attack-pattern--06f9fdd5-295f-4bba-8fce-e9f571544633,attack-pattern,Safe Deposit Boxes,"Criminals store physical cash, precious metals, or other illicitly acquired assets in safe-deposit facilities offered by financial institutions. By placing such assets beyond direct transaction records, they complicate detection efforts and can make phased withdrawals or staggered deposits without triggering typical AML thresholds. Some business express deposit boxes also provide higher depositor anonymity, further hindering compliance oversight. Criminals often pay rental fees fully in cash and avoid retaining lease documents at their residence to prevent any paper trail connecting them to the box . In some cases, they exploit lax identity checks by using third parties or signing under false identities, and store contraband (such as drugs or firearms) alongside illicit funds . In jurisdictions where national banking registries include safe deposit boxes, stronger oversight may drive criminals toward smaller or non-reporting banks to maintain secrecy .","Adversaries typically exploit safe deposit boxes to conceal illicit assets beyond formal transaction records, using third-party signatories or false identities to obscure direct links and circumvent AML thresholds. They may also capitalize on cash-based rental fees and fragmented storage or retrieval practices to further impede detection and compliance measures.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,Use of Deposit Boxes; Business Express Deposit Box Usage; Private Deposit Box Utilization; Safe Deposit Box; Lockbox; Vault Storage Box; Bank Deposit Box,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0043"",
    ""url"": ""https://framework.amltrix.com/techniques/T0043""
  }
]",T0043,https://framework.amltrix.com/techniques/T0043
attack-pattern--60e2df2b-69a5-41ec-a802-b764d1fb0003,attack-pattern,Fraud,"This illicit activity encompasses a broad range of deceptive practices intended to generate unlawful proceeds that qualify as predicate offenses under anti–money laundering frameworks. By fabricating or manipulating transactions, documentation, and representations, perpetrators create new streams of illicit capital at the outset rather than merely concealing funds derived from other crimes. These gains often pass through traditional banking channels, shell entities, or novel financial platforms, ultimately reaching the placement, layering, or integration stages with reduced suspicion. In certain documented cases, criminals submit bogus delivery notes or invoices to secure financing that is later funneled back to the issuer, effectively producing newly disguised proceeds . Others may engage in repeated re-invoicing or false-invoicing methods to artificially inflate or misrepresent the origin of goods and funds, enabling them to hide illicit assets under the guise of legitimate transactions . Some schemes also rely on fraudulent identity documentation or sham accounts, further obscuring the origin of newly acquired funds .

Many variations rely on forged invoices, fraudulent applications, or falsified eligibility criteria, blending legitimate transactions with contrived claims to mask the origin of the newly acquired funds. In certain schemes, perpetrators exploit government programs by submitting fabricated data—whether in relief, stimulus, or rebate contexts—to trigger disbursements that seem legitimate on paper. Others systematically circulate commodities or services through artificial billing cycles, as seen in specialized forms like Carousel Fraud  or Tax Rebate Fraud . In these cases, fraudsters repeatedly move the same goods (or false equivalents) across multiple jurisdictions or shell corporations, capitalizing on rebates, refunds, or other government payouts.

Once generated, the proceeds may be channeled through complex laundering methods. Criminals typically commingle legitimate and illicit gains in the same accounts, use structured deposits under multiple names, or transfer funds across numerous bank and money-service platforms. Shell companies and nominee arrangements frequently serve as conduits, enabling rapid distribution of funds under layers of corporate or personal identities. In more recent examples involving government relief programs , perpetrators have misrepresented business activity or identity information to capture high-volume payouts, then swiftly moved the funds to personal or third-party accounts.

Some variants involve persuading individual victims to hand over money under false pretenses, as seen in advance-fee or reward-based schemes . These often hinge on trust-building manipulations, urgent appeals, or embellished investment promises, only to vanish once the fraudster secures payment. Social media has also become a fertile medium for fraudulent charitable campaigns , leveraging emotional pleas to collect many small amounts that add up to substantial criminal profits.

Regardless of how it is carried out, fraud remains a key predicate offense for laundering because the funds begin as newly created criminal assets, often entering the financial system under the appearance of legitimacy.","Adversaries typically exploit fraud by acquiring illicit proceeds through deceptive schemes and then funneling them through complex financial transactions, thus concealing the criminal origins of the funds.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,Scam,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0144"",
    ""url"": ""https://framework.amltrix.com/techniques/T0144""
  }
]",T0144,https://framework.amltrix.com/techniques/T0144
attack-pattern--10600f35-540b-4f93-8e0e-8cad81d27bc1,attack-pattern,Front Company,"This method employs a seemingly legitimate venture to hide illicit funds behind ordinary commercial activity. By commingling illegal proceeds with legitimate revenue, it conceals the true source of assets and attracts less scrutiny from financial institutions and authorities. These operations typically maintain a credible façade—physical locations, staff, or actual goods and services—while channeling unlawful earnings into their accounts.  

Criminals often choose enterprises with high cash turnovers, such as restaurants, retail shops, or entertainment venues, allowing significant amounts of illegal income to merge seamlessly with daily receipts. They may also fabricate invoices or contracts to further disguise where the money originates. This approach supports multi-jurisdictional transactions, sustains an outward impression of compliance, and obstructs effective investigations into the operation’s genuine purpose .","Launderers typically exploit front companies as seemingly legitimate entities to co-mingle illicit proceeds with genuine revenue, leveraging high-cash-flow operations and falsified documentation to reduce detection risk.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,Commingling; Front Business; Commercial Front; Front Operation,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0014"",
    ""url"": ""https://framework.amltrix.com/techniques/T0014""
  }
]",T0014,https://framework.amltrix.com/techniques/T0014
attack-pattern--b4e1de0a-5a43-4d2f-ae16-760721a5b3aa,attack-pattern,Online Game Currency Conversion,"Criminals acquire in-game currencies or virtual items using illicit funds, then resell or convert these assets back into real-world money or other cryptocurrencies. By channeling transactions through online gaming environments with minimal AML scrutiny, launderers significantly obscure the origin of the funds . The trade of stolen or compromised game assets is common on dark web marketplaces, allowing instant monetization or multiple layering steps as items move between different jurisdictions . In some cases, criminals rely on centralized or decentralized exchange platforms that facilitate swaps between in-game currencies and fiat or cryptocurrency while requiring little or no customer verification . This structure enables additional complexity and reduces transparency for investigators, especially when large amounts of digital game items are rapidly exchanged or price-manipulated to disguise the funds’ provenance .","Adversaries typically exploit online gaming platforms’ limited AML measures by purchasing in-game currencies or virtual assets with illicit proceeds and then reselling or converting them into real-world money or cryptocurrencies, allowing rapid layering and obscuring of funds across multiple jurisdictions.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,Digital Item Sale; Virtual Currency Realization in Online Game; Digital Currency Conversion; Game Currency Monetization,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0018"",
    ""url"": ""https://framework.amltrix.com/techniques/T0018""
  }
]",T0018,https://framework.amltrix.com/techniques/T0018
attack-pattern--f963781d-b2d7-4a36-ac16-153893ecb869,attack-pattern,Intermediary-Facilitated Transfers,"Intermediary-Facilitated Transfers involve the deliberate insertion of external parties between criminals and illicit funds, either through complicit professionals or manipulated associates. These third parties—sometimes referred to as “straw men” or “nominee arrangements”—can include lawyers, accountants, brokers, or other intermediaries who register accounts or hold assets in their own names on behalf of the true beneficiary . In some cases, formal or informal nominees are engaged to establish and manage shell companies or trusts, obscuring the real controlling party and complicating beneficial ownership verification . Unwitting individuals may also be used in this layering process, increasing operational secrecy by adding transactional steps that appear to be legitimate on paper. Criminals thereby distance themselves from suspicious activity, creating another barrier for investigators seeking to trace ultimate beneficiaries and unravel the flow of illicit funds .","Adversaries typically exploit intermediary-facilitated transfers by inserting complicit or unwitting third parties—known as straw men or nominee arrangements—to register accounts or manage shell entities on their behalf. This layering obscures beneficial ownership, distances the true controllers from suspicious transactions, and complicates investigators’ ability to identify ultimate beneficiaries.",2025-04-02T13:25:45.254035+00:00,2025-04-02T13:25:45.254035+00:00,2.1,False,,Nominee Arrangements; Straw Man; Middle Man; Facilitator,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""T0002"",
    ""url"": ""https://framework.amltrix.com/techniques/T0002""
  }
]",T0002,https://framework.amltrix.com/techniques/T0002
